,Date,T10Y2Y
170,1997-04-11,0.45
171,1997-04-18,0.42
172,1997-04-25,0.4
173,1997-05-02,0.42
174,1997-05-09,0.43
175,1997-05-16,0.42
176,1997-05-23,0.49
177,1997-05-30,0.45
178,1997-06-06,0.39
179,1997-06-13,0.4
180,1997-06-20,0.35
181,1997-06-27,0.43
182,1997-07-04,0.38
183,1997-07-11,0.34
184,1997-07-18,0.33
185,1997-07-25,0.31
186,1997-08-01,0.31
187,1997-08-08,0.36
188,1997-08-15,0.4
189,1997-08-22,0.4
190,1997-08-29,0.37
191,1997-09-05,0.39
192,1997-09-12,0.36
193,1997-09-19,0.28
194,1997-09-26,0.28
195,1997-10-03,0.29
196,1997-10-10,0.29
197,1997-10-17,0.26
198,1997-10-24,0.22
199,1997-10-31,0.21
200,1997-11-07,0.19
201,1997-11-14,0.16
202,1997-11-21,0.14
203,1997-11-28,0.1
204,1997-12-05,0.12
205,1997-12-12,0.11
206,1997-12-19,0.06
207,1997-12-26,0.06
208,1998-01-02,0.08
209,1998-01-09,0.23
210,1998-01-16,0.19
211,1998-01-23,0.28
212,1998-01-30,0.21
213,1998-02-06,0.24
214,1998-02-13,0.13
215,1998-02-20,0.13
216,1998-02-27,0.07
217,1998-03-06,0.15
218,1998-03-13,0.08
219,1998-03-20,0.05
220,1998-03-27,0.05
221,1998-04-03,0.05
222,1998-04-10,0.09
223,1998-04-17,0.05
224,1998-04-24,0.06
225,1998-05-01,0.08
226,1998-05-08,0.1
227,1998-05-15,0.05
228,1998-05-22,0.01
229,1998-05-29,0.03
230,1998-06-05,0.0
231,1998-06-12,0.0
232,1998-06-19,-0.05
233,1998-06-26,-0.05
234,1998-07-03,-0.02
235,1998-07-10,0.01
236,1998-07-17,0.05
237,1998-07-24,-0.03
238,1998-07-31,0.01
239,1998-08-07,0.06
240,1998-08-14,0.06
241,1998-08-21,0.07
242,1998-08-28,0.16
243,1998-09-04,0.11
244,1998-09-11,0.17
245,1998-09-18,0.09
246,1998-09-25,0.17
247,1998-10-02,0.14
248,1998-10-09,0.58
249,1998-10-16,0.58
250,1998-10-23,0.5
251,1998-10-30,0.52
252,1998-11-06,0.34
253,1998-11-13,0.28
254,1998-11-20,0.16
255,1998-11-27,0.19
256,1998-12-04,0.16
257,1998-12-11,0.15
258,1998-12-18,0.13
259,1998-12-25,0.08
260,1999-01-01,0.11
261,1999-01-08,0.15
262,1999-01-15,0.1
263,1999-01-22,0.05
264,1999-01-29,0.08
265,1999-02-05,0.14
266,1999-02-12,0.15
267,1999-02-19,0.12
268,1999-02-26,0.16
269,1999-03-05,0.2
270,1999-03-12,0.16
271,1999-03-19,0.13
272,1999-03-26,0.22
273,1999-04-02,0.24
274,1999-04-09,0.17
275,1999-04-16,0.21
276,1999-04-23,0.22
277,1999-04-30,0.28
278,1999-05-07,0.35
279,1999-05-14,0.32
280,1999-05-21,0.22
281,1999-05-28,0.22
282,1999-06-04,0.26
283,1999-06-11,0.32
284,1999-06-18,0.28
285,1999-06-25,0.29
286,1999-07-02,0.24
287,1999-07-09,0.23
288,1999-07-16,0.18
289,1999-07-23,0.26
290,1999-07-30,0.29
291,1999-08-06,0.33
292,1999-08-13,0.27
293,1999-08-20,0.23
294,1999-08-27,0.2
295,1999-09-03,0.25
296,1999-09-10,0.25
297,1999-09-17,0.24
298,1999-09-24,0.2
299,1999-10-01,0.27
300,1999-10-08,0.24
301,1999-10-15,0.27
302,1999-10-22,0.25
303,1999-10-29,0.23
304,1999-11-05,0.2
305,1999-11-12,0.15
306,1999-11-19,0.15
307,1999-11-26,0.13
308,1999-12-03,0.18
309,1999-12-10,0.15
310,1999-12-17,0.15
311,1999-12-24,0.17
312,1999-12-31,0.21
313,2000-01-07,0.21
314,2000-01-14,0.25
315,2000-01-21,0.31
316,2000-01-28,0.08
317,2000-02-04,-0.1
318,2000-02-11,-0.02
319,2000-02-18,-0.17
320,2000-02-25,-0.09
321,2000-03-03,-0.11
322,2000-03-10,-0.16
323,2000-03-17,-0.3
324,2000-03-24,-0.44
325,2000-03-31,-0.47
326,2000-04-07,-0.52
327,2000-04-14,-0.42
328,2000-04-21,-0.39
329,2000-04-28,-0.45
330,2000-05-05,-0.33
331,2000-05-12,-0.4
332,2000-05-19,-0.35
333,2000-05-26,-0.36
334,2000-06-02,-0.37
335,2000-06-09,-0.43
336,2000-06-16,-0.39
337,2000-06-23,-0.36
338,2000-06-30,-0.35
339,2000-07-07,-0.28
340,2000-07-14,-0.31
341,2000-07-21,-0.31
342,2000-07-28,-0.26
343,2000-08-04,-0.24
344,2000-08-11,-0.46
345,2000-08-18,-0.49
346,2000-08-25,-0.46
347,2000-09-01,-0.41
348,2000-09-08,-0.38
349,2000-09-15,-0.23
350,2000-09-22,-0.24
351,2000-09-29,-0.18
352,2000-10-06,-0.16
353,2000-10-13,-0.11
354,2000-10-20,-0.2
355,2000-10-27,-0.22
356,2000-11-03,-0.11
357,2000-11-10,-0.1
358,2000-11-17,-0.17
359,2000-11-24,-0.23
360,2000-12-01,-0.1
361,2000-12-08,-0.15
362,2000-12-15,-0.18
363,2000-12-22,-0.08
364,2000-12-29,0.01
365,2001-01-05,0.37
366,2001-01-12,0.35
367,2001-01-19,0.44
368,2001-01-26,0.51
369,2001-02-02,0.52
370,2001-02-09,0.36
371,2001-02-16,0.36
372,2001-02-23,0.57
373,2001-03-02,0.47
374,2001-03-09,0.48
375,2001-03-16,0.52
376,2001-03-23,0.56
377,2001-03-30,0.75
378,2001-04-06,0.82
379,2001-04-13,0.81
380,2001-04-20,1.03
381,2001-04-27,1.06
382,2001-05-04,1.07
383,2001-05-11,1.15
384,2001-05-18,1.04
385,2001-05-25,1.21
386,2001-06-01,1.17
387,2001-06-08,1.21
388,2001-06-15,1.26
389,2001-06-22,1.21
390,2001-06-29,1.17
391,2001-07-06,1.25
392,2001-07-13,1.15
393,2001-07-20,1.17
394,2001-07-27,1.26
395,2001-08-03,1.29
396,2001-08-10,1.26
397,2001-08-17,1.17
398,2001-08-24,1.17
399,2001-08-31,1.21
400,2001-09-07,1.27
401,2001-09-14,1.7
402,2001-09-21,1.79
403,2001-09-28,1.74
404,2001-10-05,1.81
405,2001-10-12,1.87
406,2001-10-19,1.86
407,2001-10-26,1.9
408,2001-11-02,1.89
409,2001-11-09,1.89
410,2001-11-16,1.82
411,2001-11-23,1.84
412,2001-11-30,1.94
413,2001-12-07,2.01
414,2001-12-14,2.04
415,2001-12-21,1.95
416,2001-12-28,1.99
417,2002-01-04,1.99
418,2002-01-11,2.16
419,2002-01-18,2.03
420,2002-01-25,1.93
421,2002-02-01,1.94
422,2002-02-08,1.95
423,2002-02-15,1.89
424,2002-02-22,1.87
425,2002-03-01,1.8
426,2002-03-08,1.73
427,2002-03-15,1.72
428,2002-03-22,1.63
429,2002-03-29,1.7
430,2002-04-05,1.73
431,2002-04-12,1.77
432,2002-04-19,1.85
433,2002-04-26,1.86
434,2002-05-03,1.91
435,2002-05-10,1.96
436,2002-05-17,1.86
437,2002-05-24,1.88
438,2002-05-31,1.86
439,2002-06-07,1.94
440,2002-06-14,1.91
441,2002-06-21,1.91
442,2002-06-28,1.96
443,2002-07-05,2.0
444,2002-07-12,2.07
445,2002-07-19,2.13
446,2002-07-26,2.23
447,2002-08-02,2.34
448,2002-08-09,2.17
449,2002-08-16,2.04
450,2002-08-23,2.06
451,2002-08-30,2.0
452,2002-09-06,1.97
453,2002-09-13,1.85
454,2002-09-20,1.85
455,2002-09-27,1.87
456,2002-10-04,1.91
457,2002-10-11,1.98
458,2002-10-18,2.05
459,2002-10-25,2.14
460,2002-11-01,2.25
461,2002-11-08,1.98
462,2002-11-15,2.14
463,2002-11-22,2.08
464,2002-11-29,2.14
465,2002-12-06,2.2
466,2002-12-13,2.2
467,2002-12-20,2.21
468,2002-12-27,2.23
469,2003-01-03,2.26
470,2003-01-10,2.37
471,2003-01-17,2.35
472,2003-01-24,2.28
473,2003-01-31,2.28
474,2003-02-07,2.33
475,2003-02-14,2.33
476,2003-02-21,2.27
477,2003-02-28,2.18
478,2003-03-07,2.24
479,2003-03-14,2.16
480,2003-03-21,2.31
481,2003-03-28,2.36
482,2003-04-04,2.41
483,2003-04-11,2.35
484,2003-04-18,2.27
485,2003-04-25,2.34
486,2003-05-02,2.38
487,2003-05-09,2.24
488,2003-05-16,2.08
489,2003-05-23,1.96
490,2003-05-30,2.04
491,2003-06-06,2.1
492,2003-06-13,2.03
493,2003-06-20,2.18
494,2003-06-27,2.2
495,2003-07-04,2.35
496,2003-07-11,2.37
497,2003-07-18,2.49
498,2003-07-25,2.7
499,2003-08-01,2.59
500,2003-08-08,2.55
501,2003-08-15,2.7
502,2003-08-22,2.51
503,2003-08-29,2.5
504,2003-09-05,2.63
505,2003-09-12,2.61
506,2003-09-19,2.47
507,2003-09-26,2.44
508,2003-10-03,2.56
509,2003-10-10,2.64
510,2003-10-17,2.51
511,2003-10-24,2.48
512,2003-10-31,2.48
513,2003-11-07,2.44
514,2003-11-14,2.38
515,2003-11-21,2.31
516,2003-11-28,2.28
517,2003-12-05,2.35
518,2003-12-12,2.42
519,2003-12-19,2.33
520,2003-12-26,2.35
521,2004-01-02,2.44
522,2004-01-09,2.43
523,2004-01-16,2.34
524,2004-01-23,2.38
525,2004-01-30,2.32
526,2004-02-06,2.35
527,2004-02-13,2.35
528,2004-02-20,2.35
529,2004-02-27,2.33
530,2004-03-05,2.28
531,2004-03-12,2.24
532,2004-03-19,2.24
533,2004-03-26,2.26
534,2004-04-02,2.29
535,2004-04-09,2.33
536,2004-04-16,2.34
537,2004-04-23,2.19
538,2004-04-30,2.22
539,2004-05-07,2.15
540,2004-05-14,2.2
541,2004-05-21,2.16
542,2004-05-28,2.12
543,2004-06-04,2.08
544,2004-06-11,2.0
545,2004-06-18,1.91
546,2004-06-25,1.92
547,2004-07-02,1.94
548,2004-07-09,1.94
549,2004-07-16,1.84
550,2004-07-23,1.76
551,2004-07-30,1.82
552,2004-08-06,1.84
553,2004-08-13,1.75
554,2004-08-20,1.78
555,2004-08-27,1.75
556,2004-09-03,1.69
557,2004-09-10,1.69
558,2004-09-17,1.61
559,2004-09-24,1.42
560,2004-10-01,1.58
561,2004-10-08,1.54
562,2004-10-15,1.54
563,2004-10-22,1.45
564,2004-10-29,1.49
565,2004-11-05,1.41
566,2004-11-12,1.34
567,2004-11-19,1.25
568,2004-11-26,1.21
569,2004-12-03,1.33
570,2004-12-10,1.21
571,2004-12-17,1.18
572,2004-12-24,1.21
573,2004-12-31,1.16
574,2005-01-07,1.09
575,2005-01-14,0.99
576,2005-01-21,1.0
577,2005-01-28,0.91
578,2005-02-04,0.8
579,2005-02-11,0.76
580,2005-02-18,0.82
581,2005-02-25,0.73
582,2005-03-04,0.75
583,2005-03-11,0.83
584,2005-03-18,0.79
585,2005-03-25,0.72
586,2005-04-01,0.71
587,2005-04-08,0.73
588,2005-04-15,0.73
589,2005-04-22,0.64
590,2005-04-29,0.55
591,2005-05-06,0.55
592,2005-05-13,0.51
593,2005-05-20,0.44
594,2005-05-27,0.44
595,2005-06-03,0.41
596,2005-06-10,0.34
597,2005-06-17,0.37
598,2005-06-24,0.33
599,2005-07-01,0.3
600,2005-07-08,0.33
601,2005-07-15,0.32
602,2005-07-22,0.31
603,2005-07-29,0.26
604,2005-08-05,0.29
605,2005-08-12,0.19
606,2005-08-19,0.18
607,2005-08-26,0.14
608,2005-09-02,0.28
609,2005-09-09,0.26
610,2005-09-16,0.29
611,2005-09-23,0.23
612,2005-09-30,0.16
613,2005-10-07,0.17
614,2005-10-14,0.21
615,2005-10-21,0.17
616,2005-10-28,0.18
617,2005-11-04,0.19
618,2005-11-11,0.11
619,2005-11-18,0.1
620,2005-11-25,0.1
621,2005-12-02,0.09
622,2005-12-09,0.11
623,2005-12-16,0.08
624,2005-12-23,0.01
625,2005-12-30,-0.02
626,2006-01-06,0.02
627,2006-01-13,0.02
628,2006-01-20,0.0
629,2006-01-27,0.01
630,2006-02-03,-0.05
631,2006-02-10,-0.1
632,2006-02-17,-0.12
633,2006-02-24,-0.16
634,2006-03-03,-0.08
635,2006-03-10,0.02
636,2006-03-17,0.03
637,2006-03-24,-0.05
638,2006-03-31,0.04
639,2006-04-07,0.08
640,2006-04-14,0.09
641,2006-04-21,0.11
642,2006-04-28,0.2
643,2006-05-05,0.18
644,2006-05-12,0.18
645,2006-05-19,0.09
646,2006-05-26,0.1
647,2006-06-02,0.08
648,2006-06-09,-0.03
649,2006-06-16,-0.03
650,2006-06-23,-0.04
651,2006-06-30,-0.01
652,2006-07-07,-0.03
653,2006-07-14,-0.01
654,2006-07-21,-0.03
655,2006-07-28,0.02
656,2006-08-04,0.0
657,2006-08-11,0.01
658,2006-08-18,-0.03
659,2006-08-25,-0.07
660,2006-09-01,-0.04
661,2006-09-08,-0.02
662,2006-09-15,-0.07
663,2006-09-22,-0.07
664,2006-09-29,-0.07
665,2006-10-06,-0.04
666,2006-10-13,-0.06
667,2006-10-20,-0.08
668,2006-10-27,-0.08
669,2006-11-03,-0.1
670,2006-11-10,-0.14
671,2006-11-17,-0.15
672,2006-11-24,-0.18
673,2006-12-01,-0.09
674,2006-12-08,-0.12
675,2006-12-15,-0.13
676,2006-12-22,-0.08
677,2006-12-29,-0.11
678,2007-01-05,-0.11
679,2007-01-12,-0.11
680,2007-01-19,-0.15
681,2007-01-26,-0.11
682,2007-02-02,-0.11
683,2007-02-09,-0.13
684,2007-02-16,-0.14
685,2007-02-23,-0.14
686,2007-03-02,-0.04
687,2007-03-09,-0.07
688,2007-03-16,-0.03
689,2007-03-23,0.02
690,2007-03-30,0.07
691,2007-04-06,0.01
692,2007-04-13,0.0
693,2007-04-20,0.04
694,2007-04-27,0.04
695,2007-05-04,-0.03
696,2007-05-11,-0.04
697,2007-05-18,-0.01
698,2007-05-25,0.01
699,2007-06-01,-0.02
700,2007-06-08,0.11
701,2007-06-15,0.11
702,2007-06-22,0.22
703,2007-06-29,0.16
704,2007-07-06,0.2
705,2007-07-13,0.17
706,2007-07-20,0.17
707,2007-07-27,0.24
708,2007-08-03,0.25
709,2007-08-10,0.34
710,2007-08-17,0.5
711,2007-08-24,0.33
712,2007-08-31,0.39
713,2007-09-07,0.48
714,2007-09-14,0.42
715,2007-09-21,0.58
716,2007-09-28,0.62
717,2007-10-05,0.57
718,2007-10-12,0.47
719,2007-10-19,0.61
720,2007-10-26,0.64
721,2007-11-02,0.65
722,2007-11-09,0.81
723,2007-11-16,0.82
724,2007-11-23,0.94
725,2007-11-30,0.93
726,2007-12-07,1.0
727,2007-12-14,0.93
728,2007-12-21,0.99
729,2007-12-28,0.99
730,2008-01-04,1.14
731,2008-01-11,1.23
732,2008-01-18,1.3
733,2008-01-25,1.38
734,2008-02-01,1.53
735,2008-02-08,1.71
736,2008-02-15,1.85
737,2008-02-22,1.81
738,2008-02-29,1.88
739,2008-03-07,2.03
740,2008-03-14,1.97
741,2008-03-21,1.75
742,2008-03-28,1.8
743,2008-04-04,1.67
744,2008-04-11,1.73
745,2008-04-18,1.58
746,2008-04-25,1.47
747,2008-05-02,1.42
748,2008-05-09,1.52
749,2008-05-16,1.38
750,2008-05-23,1.39
751,2008-05-30,1.4
752,2008-06-06,1.54
753,2008-06-13,1.22
754,2008-06-20,1.28
755,2008-06-27,1.34
756,2008-07-04,1.45
757,2008-07-11,1.37
758,2008-07-18,1.45
759,2008-07-25,1.43
760,2008-08-01,1.46
761,2008-08-08,1.43
762,2008-08-15,1.44
763,2008-08-22,1.45
764,2008-08-29,1.47
765,2008-09-05,1.43
766,2008-09-12,1.51
767,2008-09-19,1.62
768,2008-09-26,1.74
769,2008-10-03,2.03
770,2008-10-10,2.27
771,2008-10-17,2.34
772,2008-10-24,2.19
773,2008-10-31,2.45
774,2008-11-07,2.5
775,2008-11-14,2.5
776,2008-11-21,2.11
777,2008-11-28,1.93
778,2008-12-05,1.74
779,2008-12-12,1.82
780,2008-12-19,1.39
781,2008-12-26,1.27
782,2009-01-02,1.58
783,2009-01-09,1.68
784,2009-01-16,1.63
785,2009-01-23,1.82
786,2009-01-30,1.93
787,2009-02-06,2.06
788,2009-02-13,1.92
789,2009-02-20,1.82
790,2009-02-27,2.02
791,2009-03-06,1.92
792,2009-03-13,1.91
793,2009-03-20,1.76
794,2009-03-27,1.88
795,2009-04-03,1.95
796,2009-04-10,2.0
797,2009-04-17,1.99
798,2009-04-24,2.04
799,2009-05-01,2.29
800,2009-05-08,2.29
801,2009-05-15,2.26
802,2009-05-22,2.53
803,2009-05-29,2.55
804,2009-06-05,2.52
805,2009-06-12,2.51
806,2009-06-19,2.54
807,2009-06-26,2.42
808,2009-07-03,2.53
809,2009-07-10,2.41
810,2009-07-17,2.65
811,2009-07-24,2.65
812,2009-07-31,2.39
813,2009-08-07,2.57
814,2009-08-14,2.48
815,2009-08-21,2.43
816,2009-08-28,2.45
817,2009-09-04,2.51
818,2009-09-11,2.44
819,2009-09-18,2.46
820,2009-09-25,2.36
821,2009-10-02,2.36
822,2009-10-09,2.42
823,2009-10-16,2.46
824,2009-10-23,2.47
825,2009-10-30,2.51
826,2009-11-06,2.68
827,2009-11-13,2.61
828,2009-11-20,2.61
829,2009-11-27,2.53
830,2009-12-04,2.64
831,2009-12-11,2.72
832,2009-12-18,2.73
833,2009-12-25,2.82
834,2010-01-01,2.71
835,2010-01-08,2.87
836,2010-01-15,2.81
837,2010-01-22,2.78
838,2010-01-29,2.81
839,2010-02-05,2.82
840,2010-02-12,2.85
841,2010-02-19,2.83
842,2010-02-26,2.8
843,2010-03-05,2.78
844,2010-03-12,2.74
845,2010-03-19,2.68
846,2010-03-26,2.82
847,2010-04-02,2.85
848,2010-04-09,2.82
849,2010-04-16,2.81
850,2010-04-23,2.74
851,2010-04-30,2.72
852,2010-05-07,2.62
853,2010-05-14,2.65
854,2010-05-21,2.44
855,2010-05-28,2.55
856,2010-06-04,2.48
857,2010-06-11,2.49
858,2010-06-18,2.5
859,2010-06-25,2.47
860,2010-07-02,2.37
861,2010-07-09,2.44
862,2010-07-16,2.35
863,2010-07-23,2.42
864,2010-07-30,2.39
865,2010-08-06,2.36
866,2010-08-13,2.14
867,2010-08-20,2.13
868,2010-08-27,2.1
869,2010-09-03,2.2
870,2010-09-10,2.23
871,2010-09-17,2.27
872,2010-09-24,2.17
873,2010-10-01,2.12
874,2010-10-08,2.06
875,2010-10-15,2.22
876,2010-10-22,2.24
877,2010-10-29,2.29
878,2010-11-05,2.2
879,2010-11-12,2.25
880,2010-11-19,2.36
881,2010-11-26,2.36
882,2010-12-03,2.54
883,2010-12-10,2.68
884,2010-12-17,2.72
885,2010-12-24,2.74
886,2010-12-31,2.69
887,2011-01-07,2.74
888,2011-01-14,2.76
889,2011-01-21,2.81
890,2011-01-28,2.82
891,2011-02-04,2.91
892,2011-02-11,2.79
893,2011-02-18,2.81
894,2011-02-25,2.7
895,2011-03-04,2.81
896,2011-03-11,2.76
897,2011-03-18,2.67
898,2011-03-25,2.67
899,2011-04-01,2.66
900,2011-04-08,2.76
901,2011-04-15,2.72
902,2011-04-22,2.74
903,2011-04-29,2.71
904,2011-05-06,2.62
905,2011-05-13,2.61
906,2011-05-20,2.6
907,2011-05-27,2.59
908,2011-06-03,2.57
909,2011-06-10,2.58
910,2011-06-17,2.56
911,2011-06-24,2.53
912,2011-07-01,2.72
913,2011-07-08,2.63
914,2011-07-15,2.57
915,2011-07-22,2.59
916,2011-07-29,2.46
917,2011-08-05,2.3
918,2011-08-12,2.04
919,2011-08-19,1.87
920,2011-08-26,1.99
921,2011-09-02,1.82
922,2011-09-09,1.76
923,2011-09-16,1.9
924,2011-09-23,1.61
925,2011-09-30,1.67
926,2011-10-07,1.8
927,2011-10-14,1.98
928,2011-10-21,1.93
929,2011-10-28,2.06
930,2011-11-04,1.84
931,2011-11-11,1.8
932,2011-11-18,1.72
933,2011-11-25,1.69
934,2011-12-02,1.8
935,2011-12-09,1.85
936,2011-12-16,1.62
937,2011-12-23,1.75
938,2011-12-30,1.64
939,2012-01-06,1.73
940,2012-01-13,1.65
941,2012-01-20,1.79
942,2012-01-27,1.71
943,2012-02-03,1.74
944,2012-02-10,1.69
945,2012-02-17,1.72
946,2012-02-24,1.67
947,2012-03-02,1.71
948,2012-03-09,1.71
949,2012-03-16,1.94
950,2012-03-23,1.88
951,2012-03-30,1.9
952,2012-04-06,1.75
953,2012-04-13,1.75
954,2012-04-20,1.7
955,2012-04-27,1.7
956,2012-05-04,1.64
957,2012-05-11,1.57
958,2012-05-18,1.39
959,2012-05-25,1.45
960,2012-06-01,1.22
961,2012-06-08,1.37
962,2012-06-15,1.31
963,2012-06-22,1.38
964,2012-06-29,1.34
965,2012-07-06,1.3
966,2012-07-13,1.27
967,2012-07-20,1.27
968,2012-07-27,1.33
969,2012-08-03,1.36
970,2012-08-10,1.38
971,2012-08-17,1.52
972,2012-08-24,1.4
973,2012-08-31,1.35
974,2012-09-07,1.42
975,2012-09-14,1.61
976,2012-09-21,1.5
977,2012-09-28,1.42
978,2012-10-05,1.48
979,2012-10-12,1.42
980,2012-10-19,1.49
981,2012-10-26,1.48
982,2012-11-02,1.47
983,2012-11-09,1.34
984,2012-11-16,1.34
985,2012-11-23,1.41
986,2012-11-30,1.37
987,2012-12-07,1.39
988,2012-12-14,1.48
989,2012-12-21,1.51
990,2012-12-28,1.46
991,2013-01-04,1.66
992,2013-01-11,1.63
993,2013-01-18,1.61
994,2013-01-25,1.7
995,2013-02-01,1.77
996,2013-02-08,1.74
997,2013-02-15,1.72
998,2013-02-22,1.7
999,2013-03-01,1.61
1000,2013-03-08,1.79
1001,2013-03-15,1.76
1002,2013-03-22,1.67
1003,2013-03-29,1.62
1004,2013-04-05,1.48
1005,2013-04-12,1.53
1006,2013-04-19,1.49
1007,2013-04-26,1.48
1008,2013-05-03,1.56
1009,2013-05-10,1.64
1010,2013-05-17,1.69
1011,2013-05-24,1.75
1012,2013-05-31,1.86
1013,2013-06-07,1.85
1014,2013-06-14,1.85
1015,2013-06-21,2.14
1016,2013-06-28,2.16
1017,2013-07-05,2.33
1018,2013-07-12,2.24
1019,2013-07-19,2.18
1020,2013-07-26,2.27
1021,2013-08-02,2.33
1022,2013-08-09,2.25
1023,2013-08-16,2.48
1024,2013-08-23,2.42
1025,2013-08-30,2.39
1026,2013-09-06,2.48
1027,2013-09-13,2.45
1028,2013-09-20,2.41
1029,2013-09-27,2.3
1030,2013-10-04,2.33
1031,2013-10-11,2.35
1032,2013-10-18,2.27
1033,2013-10-25,2.21
1034,2013-11-01,2.32
1035,2013-11-08,2.45
1036,2013-11-15,2.4
1037,2013-11-22,2.44
1038,2013-11-29,2.47
1039,2013-12-06,2.58
1040,2013-12-13,2.54
1041,2013-12-20,2.52
1042,2013-12-27,2.62
1043,2014-01-03,2.6
1044,2014-01-10,2.49
1045,2014-01-17,2.44
1046,2014-01-24,2.38
1047,2014-01-31,2.33
1048,2014-02-07,2.41
1049,2014-02-14,2.43
1050,2014-02-21,2.4
1051,2014-02-28,2.33
1052,2014-03-07,2.42
1053,2014-03-14,2.29
1054,2014-03-21,2.3
1055,2014-03-28,2.28
1056,2014-04-04,2.31
1057,2014-04-11,2.26
1058,2014-04-18,2.3
1059,2014-04-25,2.25
1060,2014-05-02,2.18
1061,2014-05-09,2.22
